model,file,token_count,iso_script,iso_639_3,script,name,cc_pages,speakers,script_prevalence,cc_spk_rank
tiiuae/Falcon3-7B-Instruct,ace_Arab.dev,100662,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
mistralai/Ministral-3-8B-Instruct-2512,ace_Arab.dev,65239,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
microsoft/phi-4,ace_Arab.dev,96931,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
Qwen/Qwen3-8B,ace_Arab.dev,69152,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
moonshotai/Kimi-K3,ace_Arab.dev,74714,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,ace_Arab.dev,1160,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
meta-llama/Llama-2-7b-hf,ace_Arab.dev,117962,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,ace_Arab.dev,65239,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
CohereLabs/aya-expanse-8b,ace_Arab.dev,73119,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
deepseek-ai/DeepSeek-V4.1-Flash,ace_Arab.dev,69427,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
meta-models/Muse-Glimmer-30B,ace_Arab.dev,68942,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
google/gemma-4-E4B-it,ace_Arab.dev,58479,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
ibm-granite/granite-4.1-3b,ace_Arab.dev,96931,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
facebook/nllb-200-3.3B,ace_Arab.dev,54644,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
CohereLabs/c4ai-command-r-08-2024,ace_Arab.dev,73119,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
gpt-5,ace_Arab.dev,66314,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
gpt-6-astra,ace_Arab.dev,66314,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
claude-opus-4-8,ace_Arab.dev,96991,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
claude-fable-5,ace_Arab.dev,96991,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
gemini-3.1-pro-preview,ace_Arab.dev,58480,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
gemini-3.8-flash,ace_Arab.dev,58480,ace_Arab,ace,Arab,Achinese,,3700000.0,2.0,171
openai/gpt-oss-20b,ace_Latn.dev,45928,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
CohereLabs/command-a-plus-05-2026-bf16,ace_Latn.dev,45731,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
meta-llama/Llama-4-Scout-17B-16E-Instruct,ace_Latn.dev,46207,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
zai-org/GLM-5.3,ace_Latn.dev,50308,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
google/gemma-3-4b-it,ace_Latn.dev,47342,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,ace_Latn.dev,49903,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
ibm-granite/granite-4.1-8b,ace_Latn.dev,51017,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
CohereLabs/c4ai-command-a-03-2025,ace_Latn.dev,47322,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
Qwen/Qwen3.6-35B-A3B,ace_Latn.dev,47879,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
facebook/nllb-moe-54b,ace_Latn.dev,35948,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,ace_Latn.dev,48913,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
meta-llama/Llama-3.3-70B-Instruct,ace_Latn.dev,50464,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
allenai/Olmo-3-1125-32B,ace_Latn.dev,51017,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
allenai/Olmo-3.1-32B-Instruct,ace_Latn.dev,51017,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
meta-llama/Llama-3.2-3B-Instruct,ace_Latn.dev,50464,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,ace_Latn.dev,51112,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
CohereLabs/tiny-aya-base,ace_Latn.dev,46304,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
deepseek-ai/DeepSeek-V4-Flash,ace_Latn.dev,49715,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
tiiuae/Falcon3-7B-Instruct,ace_Latn.dev,52389,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
mistralai/Ministral-3-8B-Instruct-2512,ace_Latn.dev,48913,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
microsoft/phi-4,ace_Latn.dev,51017,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
Qwen/Qwen3-8B,ace_Latn.dev,51112,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
moonshotai/Kimi-K3,ace_Latn.dev,51544,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,ace_Latn.dev,49255,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
meta-llama/Llama-2-7b-hf,ace_Latn.dev,57068,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,ace_Latn.dev,48913,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
CohereLabs/aya-expanse-8b,ace_Latn.dev,47320,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
deepseek-ai/DeepSeek-V4.1-Flash,ace_Latn.dev,49715,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
meta-models/Muse-Glimmer-30B,ace_Latn.dev,46207,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
google/gemma-4-E4B-it,ace_Latn.dev,47341,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
ibm-granite/granite-4.1-3b,ace_Latn.dev,51017,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
facebook/nllb-200-3.3B,ace_Latn.dev,35948,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
CohereLabs/c4ai-command-r-08-2024,ace_Latn.dev,47320,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
gpt-5,ace_Latn.dev,45934,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
gpt-6-astra,ace_Latn.dev,45934,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
claude-opus-4-8,ace_Latn.dev,72063,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
claude-fable-5,ace_Latn.dev,72063,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
gemini-3.1-pro-preview,ace_Latn.dev,47342,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
gemini-3.8-flash,ace_Latn.dev,47342,ace_Latn,ace,Latn,Achinese,,3700000.0,1.0,170
openai/gpt-oss-20b,acm_Arab.dev,35545,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
CohereLabs/command-a-plus-05-2026-bf16,acm_Arab.dev,34063,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
meta-llama/Llama-4-Scout-17B-16E-Instruct,acm_Arab.dev,41020,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
zai-org/GLM-5.3,acm_Arab.dev,45411,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
google/gemma-3-4b-it,acm_Arab.dev,38836,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,acm_Arab.dev,1677,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
ibm-granite/granite-4.1-8b,acm_Arab.dev,77014,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
CohereLabs/c4ai-command-a-03-2025,acm_Arab.dev,39031,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
Qwen/Qwen3.6-35B-A3B,acm_Arab.dev,35803,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
facebook/nllb-moe-54b,acm_Arab.dev,39733,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,acm_Arab.dev,33638,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
meta-llama/Llama-3.3-70B-Instruct,acm_Arab.dev,42662,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
allenai/Olmo-3-1125-32B,acm_Arab.dev,77014,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
allenai/Olmo-3.1-32B-Instruct,acm_Arab.dev,77014,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
meta-llama/Llama-3.2-3B-Instruct,acm_Arab.dev,42662,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,acm_Arab.dev,42750,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
CohereLabs/tiny-aya-base,acm_Arab.dev,34854,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
deepseek-ai/DeepSeek-V4-Flash,acm_Arab.dev,41675,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
tiiuae/Falcon3-7B-Instruct,acm_Arab.dev,85137,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
mistralai/Ministral-3-8B-Instruct-2512,acm_Arab.dev,33638,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
microsoft/phi-4,acm_Arab.dev,77014,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
Qwen/Qwen3-8B,acm_Arab.dev,42750,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
moonshotai/Kimi-K3,acm_Arab.dev,52589,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,acm_Arab.dev,1223,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
meta-llama/Llama-2-7b-hf,acm_Arab.dev,98895,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,acm_Arab.dev,33638,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
CohereLabs/aya-expanse-8b,acm_Arab.dev,39029,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
deepseek-ai/DeepSeek-V4.1-Flash,acm_Arab.dev,41675,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
meta-models/Muse-Glimmer-30B,acm_Arab.dev,41020,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
google/gemma-4-E4B-it,acm_Arab.dev,38835,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
ibm-granite/granite-4.1-3b,acm_Arab.dev,77014,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
facebook/nllb-200-3.3B,acm_Arab.dev,39733,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
CohereLabs/c4ai-command-r-08-2024,acm_Arab.dev,39029,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
gpt-5,acm_Arab.dev,35551,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
gpt-6-astra,acm_Arab.dev,35551,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
claude-opus-4-8,acm_Arab.dev,72922,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
claude-fable-5,acm_Arab.dev,72922,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
gemini-3.1-pro-preview,acm_Arab.dev,38836,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
gemini-3.8-flash,acm_Arab.dev,38836,acm_Arab,acm,Arab,Mesopotamian Arabic,,17000000.0,,140
openai/gpt-oss-20b,acq_Arab.dev,35501,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
CohereLabs/command-a-plus-05-2026-bf16,acq_Arab.dev,34000,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
meta-llama/Llama-4-Scout-17B-16E-Instruct,acq_Arab.dev,41086,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
zai-org/GLM-5.3,acq_Arab.dev,45570,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
google/gemma-3-4b-it,acq_Arab.dev,38845,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,acq_Arab.dev,1606,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
ibm-granite/granite-4.1-8b,acq_Arab.dev,77379,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
CohereLabs/c4ai-command-a-03-2025,acq_Arab.dev,39121,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
Qwen/Qwen3.6-35B-A3B,acq_Arab.dev,35746,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
facebook/nllb-moe-54b,acq_Arab.dev,40079,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,acq_Arab.dev,33480,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
meta-llama/Llama-3.3-70B-Instruct,acq_Arab.dev,42758,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
allenai/Olmo-3-1125-32B,acq_Arab.dev,77379,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
allenai/Olmo-3.1-32B-Instruct,acq_Arab.dev,77379,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
meta-llama/Llama-3.2-3B-Instruct,acq_Arab.dev,42758,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,acq_Arab.dev,42755,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
CohereLabs/tiny-aya-base,acq_Arab.dev,35154,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
deepseek-ai/DeepSeek-V4-Flash,acq_Arab.dev,41689,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
tiiuae/Falcon3-7B-Instruct,acq_Arab.dev,86035,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
mistralai/Ministral-3-8B-Instruct-2512,acq_Arab.dev,33480,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
microsoft/phi-4,acq_Arab.dev,77379,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
Qwen/Qwen3-8B,acq_Arab.dev,42755,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
moonshotai/Kimi-K3,acq_Arab.dev,52788,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,acq_Arab.dev,1173,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
meta-llama/Llama-2-7b-hf,acq_Arab.dev,100046,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,acq_Arab.dev,33480,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
CohereLabs/aya-expanse-8b,acq_Arab.dev,39119,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
deepseek-ai/DeepSeek-V4.1-Flash,acq_Arab.dev,41689,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
meta-models/Muse-Glimmer-30B,acq_Arab.dev,41086,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
google/gemma-4-E4B-it,acq_Arab.dev,38844,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
ibm-granite/granite-4.1-3b,acq_Arab.dev,77379,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
facebook/nllb-200-3.3B,acq_Arab.dev,40079,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
CohereLabs/c4ai-command-r-08-2024,acq_Arab.dev,39119,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
gpt-5,acq_Arab.dev,35507,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
gpt-6-astra,acq_Arab.dev,35507,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
claude-opus-4-8,acq_Arab.dev,73572,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
claude-fable-5,acq_Arab.dev,73572,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
gemini-3.1-pro-preview,acq_Arab.dev,38845,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
gemini-3.8-flash,acq_Arab.dev,38845,acq_Arab,acq,Arab,Ta'Izzi-Adeni Arabic,,12000000.0,,145
openai/gpt-oss-20b,aeb_Arab.dev,36476,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
CohereLabs/command-a-plus-05-2026-bf16,aeb_Arab.dev,35375,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
meta-llama/Llama-4-Scout-17B-16E-Instruct,aeb_Arab.dev,41924,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
zai-org/GLM-5.3,aeb_Arab.dev,45729,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
google/gemma-3-4b-it,aeb_Arab.dev,39485,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,aeb_Arab.dev,1598,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
ibm-granite/granite-4.1-8b,aeb_Arab.dev,75489,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
CohereLabs/c4ai-command-a-03-2025,aeb_Arab.dev,39853,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
Qwen/Qwen3.6-35B-A3B,aeb_Arab.dev,36705,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
facebook/nllb-moe-54b,aeb_Arab.dev,40252,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-NVFP4,aeb_Arab.dev,34786,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
meta-llama/Llama-3.3-70B-Instruct,aeb_Arab.dev,42944,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
allenai/Olmo-3-1125-32B,aeb_Arab.dev,75489,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
allenai/Olmo-3.1-32B-Instruct,aeb_Arab.dev,75489,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
meta-llama/Llama-3.2-3B-Instruct,aeb_Arab.dev,42944,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,aeb_Arab.dev,43578,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
CohereLabs/tiny-aya-base,aeb_Arab.dev,36234,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
deepseek-ai/DeepSeek-V4-Flash,aeb_Arab.dev,42457,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
tiiuae/Falcon3-7B-Instruct,aeb_Arab.dev,84177,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
mistralai/Ministral-3-8B-Instruct-2512,aeb_Arab.dev,34786,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
microsoft/phi-4,aeb_Arab.dev,75489,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
Qwen/Qwen3-8B,aeb_Arab.dev,43578,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
moonshotai/Kimi-K3,aeb_Arab.dev,52365,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,aeb_Arab.dev,1161,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
meta-llama/Llama-2-7b-hf,aeb_Arab.dev,98194,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-NVFP4,aeb_Arab.dev,34786,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
CohereLabs/aya-expanse-8b,aeb_Arab.dev,39851,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
deepseek-ai/DeepSeek-V4.1-Flash,aeb_Arab.dev,42457,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
meta-models/Muse-Glimmer-30B,aeb_Arab.dev,41924,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
google/gemma-4-E4B-it,aeb_Arab.dev,39484,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
ibm-granite/granite-4.1-3b,aeb_Arab.dev,75489,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
facebook/nllb-200-3.3B,aeb_Arab.dev,40252,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
CohereLabs/c4ai-command-r-08-2024,aeb_Arab.dev,39851,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
gpt-5,aeb_Arab.dev,36482,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
gpt-6-astra,aeb_Arab.dev,36482,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
claude-opus-4-8,aeb_Arab.dev,71525,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
claude-fable-5,aeb_Arab.dev,71525,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
gemini-3.1-pro-preview,aeb_Arab.dev,39485,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
gemini-3.8-flash,aeb_Arab.dev,39485,aeb_Arab,aeb,Arab,Tunisian Arabic,,12500000.0,,144
openai/gpt-oss-20b,afr_Latn.dev,36406,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
CohereLabs/command-a-plus-05-2026-bf16,afr_Latn.dev,39832,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
meta-llama/Llama-4-Scout-17B-16E-Instruct,afr_Latn.dev,38471,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
zai-org/GLM-5.3,afr_Latn.dev,42307,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
google/gemma-3-4b-it,afr_Latn.dev,40179,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,afr_Latn.dev,43358,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
ibm-granite/granite-4.1-8b,afr_Latn.dev,43607,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
CohereLabs/c4ai-command-a-03-2025,afr_Latn.dev,39659,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
Qwen/Qwen3.6-35B-A3B,afr_Latn.dev,41039,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
facebook/nllb-moe-54b,afr_Latn.dev,35500,afr_Latn,afr,Latn,Afrikaans,185891.0,7300000.0,,72
