model,file,token_count
openai/gpt-oss-20b,gle_Latn.dev,47341
openai/gpt-oss-20b,glg_Latn.dev,33848
openai/gpt-oss-20b,grn_Latn.dev,45563
openai/gpt-oss-20b,guj_Gujr.dev,45705
openai/gpt-oss-20b,hat_Latn.dev,36024
openai/gpt-oss-20b,hau_Latn.dev,39831
openai/gpt-oss-20b,heb_Hebr.dev,37930
openai/gpt-oss-20b,hin_Deva.dev,40290
openai/gpt-oss-20b,hne_Deva.dev,44712
openai/gpt-oss-20b,hrv_Latn.dev,38018
openai/gpt-oss-20b,hun_Latn.dev,45522
openai/gpt-oss-20b,hye_Armn.dev,45978
openai/gpt-oss-20b,ibo_Latn.dev,41993
openai/gpt-oss-20b,ilo_Latn.dev,46983
openai/gpt-oss-20b,ind_Latn.dev,31618
openai/gpt-oss-20b,isl_Latn.dev,41093
openai/gpt-oss-20b,ita_Latn.dev,37171
openai/gpt-oss-20b,jav_Latn.dev,34959
openai/gpt-oss-20b,jpn_Jpan.dev,42425
openai/gpt-oss-20b,kab_Latn.dev,54707
openai/gpt-oss-20b,kac_Latn.dev,53363
openai/gpt-oss-20b,kam_Latn.dev,46437
openai/gpt-oss-20b,kan_Knda.dev,51210
openai/gpt-oss-20b,kas_Arab.dev,65530
openai/gpt-oss-20b,kas_Deva.dev,56870
openai/gpt-oss-20b,kat_Geor.dev,45914
openai/gpt-oss-20b,kaz_Cyrl.dev,40491
openai/gpt-oss-20b,kbp_Latn.dev,100821
openai/gpt-oss-20b,kea_Latn.dev,39443
openai/gpt-oss-20b,khk_Cyrl.dev,48185
openai/gpt-oss-20b,khm_Khmr.dev,85654
openai/gpt-oss-20b,kik_Latn.dev,67379
openai/gpt-oss-20b,kin_Latn.dev,44038
openai/gpt-oss-20b,kir_Cyrl.dev,42274
openai/gpt-oss-20b,kmb_Latn.dev,46684
openai/gpt-oss-20b,kmr_Latn.dev,51667
openai/gpt-oss-20b,knc_Arab.dev,70146
openai/gpt-oss-20b,knc_Latn.dev,53863
openai/gpt-oss-20b,kon_Latn.dev,44919
openai/gpt-oss-20b,kor_Hang.dev,37598
openai/gpt-oss-20b,lao_Laoo.dev,211038
openai/gpt-oss-20b,lij_Latn.dev,46017
openai/gpt-oss-20b,lim_Latn.dev,40381
openai/gpt-oss-20b,lin_Latn.dev,41306
openai/gpt-oss-20b,lit_Latn.dev,43577
openai/gpt-oss-20b,lmo_Latn.dev,46792
openai/gpt-oss-20b,ltg_Latn.dev,48489
openai/gpt-oss-20b,ltz_Latn.dev,42669
openai/gpt-oss-20b,lua_Latn.dev,42861
openai/gpt-oss-20b,lug_Latn.dev,42341
openai/gpt-oss-20b,luo_Latn.dev,43029
openai/gpt-oss-20b,lus_Latn.dev,45779
openai/gpt-oss-20b,lvs_Latn.dev,46762
openai/gpt-oss-20b,mag_Deva.dev,43648
openai/gpt-oss-20b,mai_Deva.dev,44799
openai/gpt-oss-20b,mal_Mlym.dev,49888
openai/gpt-oss-20b,mar_Deva.dev,46569
openai/gpt-oss-20b,min_Arab.dev,66800
openai/gpt-oss-20b,min_Latn.dev,39244
openai/gpt-oss-20b,mkd_Cyrl.dev,45308
openai/gpt-oss-20b,mlt_Latn.dev,47259
openai/gpt-oss-20b,mni_Beng.dev,78010
openai/gpt-oss-20b,mos_Latn.dev,53188
openai/gpt-oss-20b,mri_Latn.dev,46224
openai/gpt-oss-20b,mya_Mymr.dev,81129
openai/gpt-oss-20b,nld_Latn.dev,31666
openai/gpt-oss-20b,nno_Latn.dev,35960
openai/gpt-oss-20b,nob_Latn.dev,34603
openai/gpt-oss-20b,npi_Deva.dev,41314
openai/gpt-oss-20b,nso_Latn.dev,47545
openai/gpt-oss-20b,nus_Latn.dev,82513
openai/gpt-oss-20b,nya_Latn.dev,41457
openai/gpt-oss-20b,oci_Latn.dev,40680
openai/gpt-oss-20b,ory_Orya.dev,127879
openai/gpt-oss-20b,pag_Latn.dev,37141
openai/gpt-oss-20b,pan_Guru.dev,66815
openai/gpt-oss-20b,pap_Latn.dev,40448
openai/gpt-oss-20b,pbt_Arab.dev,45835
openai/gpt-oss-20b,pes_Arab.dev,39299
openai/gpt-oss-20b,plt_Latn.dev,45877
openai/gpt-oss-20b,pol_Latn.dev,41879
openai/gpt-oss-20b,por_Latn.dev,31315
openai/gpt-oss-20b,prs_Arab.dev,37600
openai/gpt-oss-20b,quy_Latn.dev,46600
openai/gpt-oss-20b,ron_Latn.dev,41575
openai/gpt-oss-20b,run_Latn.dev,45247
openai/gpt-oss-20b,rus_Cyrl.dev,36596
openai/gpt-oss-20b,sag_Latn.dev,46330
openai/gpt-oss-20b,san_Deva.dev,53368
openai/gpt-oss-20b,sat_Olck.dev,351837
openai/gpt-oss-20b,scn_Latn.dev,46420
openai/gpt-oss-20b,shn_Mymr.dev,202214
openai/gpt-oss-20b,sin_Sinh.dev,70234
openai/gpt-oss-20b,slk_Latn.dev,43062
openai/gpt-oss-20b,slv_Latn.dev,38614
openai/gpt-oss-20b,smo_Latn.dev,49046
openai/gpt-oss-20b,sna_Latn.dev,43353
openai/gpt-oss-20b,snd_Arab.dev,43595
openai/gpt-oss-20b,som_Latn.dev,43304
openai/gpt-oss-20b,sot_Latn.dev,47051
openai/gpt-oss-20b,spa_Latn.dev,33584
openai/gpt-oss-20b,srd_Latn.dev,45653
openai/gpt-oss-20b,srp_Cyrl.dev,45536
openai/gpt-oss-20b,ssw_Latn.dev,45813
openai/gpt-oss-20b,sun_Latn.dev,35316
openai/gpt-oss-20b,swe_Latn.dev,34557
openai/gpt-oss-20b,swh_Latn.dev,37849
openai/gpt-oss-20b,szl_Latn.dev,49976
openai/gpt-oss-20b,tam_Taml.dev,50458
openai/gpt-oss-20b,taq_Latn.dev,53122
openai/gpt-oss-20b,taq_Tfng.dev,260855
openai/gpt-oss-20b,tat_Cyrl.dev,44722
openai/gpt-oss-20b,tel_Telu.dev,49744
openai/gpt-oss-20b,tgk_Cyrl.dev,48310
openai/gpt-oss-20b,tgl_Latn.dev,43114
openai/gpt-oss-20b,tha_Thai.dev,50430
openai/gpt-oss-20b,tir_Ethi.dev,153435
openai/gpt-oss-20b,tpi_Latn.dev,45384
openai/gpt-oss-20b,tsn_Latn.dev,49401
openai/gpt-oss-20b,tso_Latn.dev,44436
openai/gpt-oss-20b,tuk_Latn.dev,42385
openai/gpt-oss-20b,tum_Latn.dev,53427
openai/gpt-oss-20b,tur_Latn.dev,36258
openai/gpt-oss-20b,twi_Latn.dev,47451
openai/gpt-oss-20b,tzm_Tfng.dev,258002
openai/gpt-oss-20b,uig_Arab.dev,64092
openai/gpt-oss-20b,ukr_Cyrl.dev,44952
openai/gpt-oss-20b,umb_Latn.dev,44757
openai/gpt-oss-20b,urd_Arab.dev,42542
openai/gpt-oss-20b,uzn_Latn.dev,45214
openai/gpt-oss-20b,vec_Latn.dev,39256
openai/gpt-oss-20b,vie_Latn.dev,37800
openai/gpt-oss-20b,war_Latn.dev,43789
openai/gpt-oss-20b,wol_Latn.dev,43687
openai/gpt-oss-20b,xho_Latn.dev,42101
openai/gpt-oss-20b,ydd_Hebr.dev,51829
openai/gpt-oss-20b,yor_Latn.dev,55656
openai/gpt-oss-20b,yue_Hant.dev,34974
openai/gpt-oss-20b,zho_Hans.dev,32364
openai/gpt-oss-20b,zho_Hant.dev,36247
openai/gpt-oss-20b,zsm_Latn.dev,33200
openai/gpt-oss-20b,zul_Latn.dev,43514
CohereLabs/command-a-plus-05-2026-bf16,ace_Arab.dev,71053
CohereLabs/command-a-plus-05-2026-bf16,ace_Latn.dev,45731
CohereLabs/command-a-plus-05-2026-bf16,acm_Arab.dev,34063
CohereLabs/command-a-plus-05-2026-bf16,acq_Arab.dev,34000
CohereLabs/command-a-plus-05-2026-bf16,aeb_Arab.dev,35375
CohereLabs/command-a-plus-05-2026-bf16,afr_Latn.dev,39832
CohereLabs/command-a-plus-05-2026-bf16,aka_Latn.dev,58204
CohereLabs/command-a-plus-05-2026-bf16,als_Latn.dev,56022
CohereLabs/command-a-plus-05-2026-bf16,amh_Ethi.dev,156235
CohereLabs/command-a-plus-05-2026-bf16,apc_Arab.dev,33348
CohereLabs/command-a-plus-05-2026-bf16,arb_Arab.dev,33653
CohereLabs/command-a-plus-05-2026-bf16,arb_Latn.dev,58728
CohereLabs/command-a-plus-05-2026-bf16,ars_Arab.dev,33779
CohereLabs/command-a-plus-05-2026-bf16,ary_Arab.dev,36929
CohereLabs/command-a-plus-05-2026-bf16,arz_Arab.dev,34861
CohereLabs/command-a-plus-05-2026-bf16,asm_Beng.dev,84248
CohereLabs/command-a-plus-05-2026-bf16,ast_Latn.dev,36412
CohereLabs/command-a-plus-05-2026-bf16,awa_Deva.dev,47382
CohereLabs/command-a-plus-05-2026-bf16,ayr_Latn.dev,51308
CohereLabs/command-a-plus-05-2026-bf16,azb_Arab.dev,51642
CohereLabs/command-a-plus-05-2026-bf16,azj_Latn.dev,60147
CohereLabs/command-a-plus-05-2026-bf16,bak_Cyrl.dev,83259
CohereLabs/command-a-plus-05-2026-bf16,bam_Latn.dev,54026
CohereLabs/command-a-plus-05-2026-bf16,ban_Latn.dev,39626
CohereLabs/command-a-plus-05-2026-bf16,bel_Cyrl.dev,69753
CohereLabs/command-a-plus-05-2026-bf16,bem_Latn.dev,54187
CohereLabs/command-a-plus-05-2026-bf16,ben_Beng.dev,50324
CohereLabs/command-a-plus-05-2026-bf16,bho_Deva.dev,49544
CohereLabs/command-a-plus-05-2026-bf16,bjn_Arab.dev,68349
CohereLabs/command-a-plus-05-2026-bf16,bjn_Latn.dev,35281
CohereLabs/command-a-plus-05-2026-bf16,bod_Tibt.dev,213823
CohereLabs/command-a-plus-05-2026-bf16,bos_Latn.dev,43913
CohereLabs/command-a-plus-05-2026-bf16,bug_Latn.dev,45344
CohereLabs/command-a-plus-05-2026-bf16,bul_Cyrl.dev,49208
CohereLabs/command-a-plus-05-2026-bf16,cat_Latn.dev,39819
CohereLabs/command-a-plus-05-2026-bf16,ceb_Latn.dev,45812
CohereLabs/command-a-plus-05-2026-bf16,ces_Latn.dev,31424
CohereLabs/command-a-plus-05-2026-bf16,cjk_Latn.dev,46756
CohereLabs/command-a-plus-05-2026-bf16,ckb_Arab.dev,86555
CohereLabs/command-a-plus-05-2026-bf16,crh_Latn.dev,47409
CohereLabs/command-a-plus-05-2026-bf16,cym_Latn.dev,51652
CohereLabs/command-a-plus-05-2026-bf16,dan_Latn.dev,34383
CohereLabs/command-a-plus-05-2026-bf16,deu_Latn.dev,32534
CohereLabs/command-a-plus-05-2026-bf16,dik_Latn.dev,49365
CohereLabs/command-a-plus-05-2026-bf16,dyu_Latn.dev,48795
CohereLabs/command-a-plus-05-2026-bf16,dzo_Tibt.dev,235479
CohereLabs/command-a-plus-05-2026-bf16,ell_Grek.dev,44175
CohereLabs/command-a-plus-05-2026-bf16,eng_Latn.dev,25014
CohereLabs/command-a-plus-05-2026-bf16,epo_Latn.dev,44395
CohereLabs/command-a-plus-05-2026-bf16,est_Latn.dev,43918
CohereLabs/command-a-plus-05-2026-bf16,eus_Latn.dev,45379
CohereLabs/command-a-plus-05-2026-bf16,ewe_Latn.dev,59968
CohereLabs/command-a-plus-05-2026-bf16,fao_Latn.dev,47867
CohereLabs/command-a-plus-05-2026-bf16,fij_Latn.dev,50064
CohereLabs/command-a-plus-05-2026-bf16,fin_Latn.dev,38506
CohereLabs/command-a-plus-05-2026-bf16,fon_Latn.dev,74873
CohereLabs/command-a-plus-05-2026-bf16,fra_Latn.dev,34103
CohereLabs/command-a-plus-05-2026-bf16,fur_Latn.dev,43687
CohereLabs/command-a-plus-05-2026-bf16,fuv_Latn.dev,44159
CohereLabs/command-a-plus-05-2026-bf16,gaz_Latn.dev,55555
CohereLabs/command-a-plus-05-2026-bf16,gla_Latn.dev,58832
CohereLabs/command-a-plus-05-2026-bf16,gle_Latn.dev,55935
CohereLabs/command-a-plus-05-2026-bf16,glg_Latn.dev,34691
CohereLabs/command-a-plus-05-2026-bf16,grn_Latn.dev,49180
CohereLabs/command-a-plus-05-2026-bf16,guj_Gujr.dev,145802
CohereLabs/command-a-plus-05-2026-bf16,hat_Latn.dev,40134
CohereLabs/command-a-plus-05-2026-bf16,hau_Latn.dev,47258
CohereLabs/command-a-plus-05-2026-bf16,heb_Hebr.dev,36709
CohereLabs/command-a-plus-05-2026-bf16,hin_Deva.dev,41279
CohereLabs/command-a-plus-05-2026-bf16,hne_Deva.dev,48220
CohereLabs/command-a-plus-05-2026-bf16,hrv_Latn.dev,43336
CohereLabs/command-a-plus-05-2026-bf16,hun_Latn.dev,52295
CohereLabs/command-a-plus-05-2026-bf16,hye_Armn.dev,148270
CohereLabs/command-a-plus-05-2026-bf16,ibo_Latn.dev,58505
CohereLabs/command-a-plus-05-2026-bf16,ilo_Latn.dev,47686
CohereLabs/command-a-plus-05-2026-bf16,ind_Latn.dev,26991
CohereLabs/command-a-plus-05-2026-bf16,isl_Latn.dev,49282
CohereLabs/command-a-plus-05-2026-bf16,ita_Latn.dev,32632
CohereLabs/command-a-plus-05-2026-bf16,jav_Latn.dev,38084
CohereLabs/command-a-plus-05-2026-bf16,jpn_Jpan.dev,29444
CohereLabs/command-a-plus-05-2026-bf16,kab_Latn.dev,54019
CohereLabs/command-a-plus-05-2026-bf16,kac_Latn.dev,54301
CohereLabs/command-a-plus-05-2026-bf16,kam_Latn.dev,48483
CohereLabs/command-a-plus-05-2026-bf16,kan_Knda.dev,192262
CohereLabs/command-a-plus-05-2026-bf16,kas_Arab.dev,71464
CohereLabs/command-a-plus-05-2026-bf16,kas_Deva.dev,62220
CohereLabs/command-a-plus-05-2026-bf16,kat_Geor.dev,117586
CohereLabs/command-a-plus-05-2026-bf16,kaz_Cyrl.dev,74014
CohereLabs/command-a-plus-05-2026-bf16,kbp_Latn.dev,104005
CohereLabs/command-a-plus-05-2026-bf16,kea_Latn.dev,39708
CohereLabs/command-a-plus-05-2026-bf16,khk_Cyrl.dev,76947
CohereLabs/command-a-plus-05-2026-bf16,khm_Khmr.dev,196731
CohereLabs/command-a-plus-05-2026-bf16,kik_Latn.dev,66252
CohereLabs/command-a-plus-05-2026-bf16,kin_Latn.dev,52013
CohereLabs/command-a-plus-05-2026-bf16,kir_Cyrl.dev,67483
CohereLabs/command-a-plus-05-2026-bf16,kmb_Latn.dev,49907
CohereLabs/command-a-plus-05-2026-bf16,kmr_Latn.dev,52736
CohereLabs/command-a-plus-05-2026-bf16,knc_Arab.dev,62645
CohereLabs/command-a-plus-05-2026-bf16,knc_Latn.dev,55988
CohereLabs/command-a-plus-05-2026-bf16,kon_Latn.dev,47067
CohereLabs/command-a-plus-05-2026-bf16,kor_Hang.dev,30403
CohereLabs/command-a-plus-05-2026-bf16,lao_Laoo.dev,219498
CohereLabs/command-a-plus-05-2026-bf16,lij_Latn.dev,46218
CohereLabs/command-a-plus-05-2026-bf16,lim_Latn.dev,42239
CohereLabs/command-a-plus-05-2026-bf16,lin_Latn.dev,45323
CohereLabs/command-a-plus-05-2026-bf16,lit_Latn.dev,49839
CohereLabs/command-a-plus-05-2026-bf16,lmo_Latn.dev,48392
CohereLabs/command-a-plus-05-2026-bf16,ltg_Latn.dev,52691
CohereLabs/command-a-plus-05-2026-bf16,ltz_Latn.dev,46489
CohereLabs/command-a-plus-05-2026-bf16,lua_Latn.dev,45412
CohereLabs/command-a-plus-05-2026-bf16,lug_Latn.dev,47262
CohereLabs/command-a-plus-05-2026-bf16,luo_Latn.dev,44207
CohereLabs/command-a-plus-05-2026-bf16,lus_Latn.dev,46313
CohereLabs/command-a-plus-05-2026-bf16,lvs_Latn.dev,56202
CohereLabs/command-a-plus-05-2026-bf16,mag_Deva.dev,47270
CohereLabs/command-a-plus-05-2026-bf16,mai_Deva.dev,53505
CohereLabs/command-a-plus-05-2026-bf16,mal_Mlym.dev,190109
CohereLabs/command-a-plus-05-2026-bf16,mar_Deva.dev,59175
CohereLabs/command-a-plus-05-2026-bf16,min_Arab.dev,70536
CohereLabs/command-a-plus-05-2026-bf16,min_Latn.dev,38661
CohereLabs/command-a-plus-05-2026-bf16,mkd_Cyrl.dev,51348
CohereLabs/command-a-plus-05-2026-bf16,mlt_Latn.dev,58014
CohereLabs/command-a-plus-05-2026-bf16,mni_Beng.dev,85036
CohereLabs/command-a-plus-05-2026-bf16,mos_Latn.dev,54054
CohereLabs/command-a-plus-05-2026-bf16,mri_Latn.dev,55594
CohereLabs/command-a-plus-05-2026-bf16,mya_Mymr.dev,275211
CohereLabs/command-a-plus-05-2026-bf16,nld_Latn.dev,35830
CohereLabs/command-a-plus-05-2026-bf16,nno_Latn.dev,35750
CohereLabs/command-a-plus-05-2026-bf16,nob_Latn.dev,33537
CohereLabs/command-a-plus-05-2026-bf16,npi_Deva.dev,55442
CohereLabs/command-a-plus-05-2026-bf16,nso_Latn.dev,51568
CohereLabs/command-a-plus-05-2026-bf16,nus_Latn.dev,76223
CohereLabs/command-a-plus-05-2026-bf16,nya_Latn.dev,49798
CohereLabs/command-a-plus-05-2026-bf16,oci_Latn.dev,43080
CohereLabs/command-a-plus-05-2026-bf16,ory_Orya.dev,217756
CohereLabs/command-a-plus-05-2026-bf16,pag_Latn.dev,37876
CohereLabs/command-a-plus-05-2026-bf16,pan_Guru.dev,74096
CohereLabs/command-a-plus-05-2026-bf16,pap_Latn.dev,41000
CohereLabs/command-a-plus-05-2026-bf16,pbt_Arab.dev,71520
CohereLabs/command-a-plus-05-2026-bf16,pes_Arab.dev,45208
CohereLabs/command-a-plus-05-2026-bf16,plt_Latn.dev,54109
CohereLabs/command-a-plus-05-2026-bf16,pol_Latn.dev,40507
CohereLabs/command-a-plus-05-2026-bf16,por_Latn.dev,30874
CohereLabs/command-a-plus-05-2026-bf16,prs_Arab.dev,42025
CohereLabs/command-a-plus-05-2026-bf16,quy_Latn.dev,48068
CohereLabs/command-a-plus-05-2026-bf16,ron_Latn.dev,41473
CohereLabs/command-a-plus-05-2026-bf16,run_Latn.dev,50987
CohereLabs/command-a-plus-05-2026-bf16,rus_Cyrl.dev,37112
CohereLabs/command-a-plus-05-2026-bf16,sag_Latn.dev,48584
CohereLabs/command-a-plus-05-2026-bf16,san_Deva.dev,57389
CohereLabs/command-a-plus-05-2026-bf16,sat_Olck.dev,330972
CohereLabs/command-a-plus-05-2026-bf16,scn_Latn.dev,46098
CohereLabs/command-a-plus-05-2026-bf16,shn_Mymr.dev,356093
CohereLabs/command-a-plus-05-2026-bf16,sin_Sinh.dev,172701
CohereLabs/command-a-plus-05-2026-bf16,slk_Latn.dev,42549
CohereLabs/command-a-plus-05-2026-bf16,slv_Latn.dev,43429
CohereLabs/command-a-plus-05-2026-bf16,smo_Latn.dev,54904
CohereLabs/command-a-plus-05-2026-bf16,sna_Latn.dev,49808
CohereLabs/command-a-plus-05-2026-bf16,snd_Arab.dev,71024
CohereLabs/command-a-plus-05-2026-bf16,som_Latn.dev,51702
CohereLabs/command-a-plus-05-2026-bf16,sot_Latn.dev,53179
CohereLabs/command-a-plus-05-2026-bf16,spa_Latn.dev,33400
CohereLabs/command-a-plus-05-2026-bf16,srd_Latn.dev,46639
CohereLabs/command-a-plus-05-2026-bf16,srp_Cyrl.dev,50930
CohereLabs/command-a-plus-05-2026-bf16,ssw_Latn.dev,50400
CohereLabs/command-a-plus-05-2026-bf16,sun_Latn.dev,39614
CohereLabs/command-a-plus-05-2026-bf16,swe_Latn.dev,33423
CohereLabs/command-a-plus-05-2026-bf16,swh_Latn.dev,46602
CohereLabs/command-a-plus-05-2026-bf16,szl_Latn.dev,49757
CohereLabs/command-a-plus-05-2026-bf16,tam_Taml.dev,56910
CohereLabs/command-a-plus-05-2026-bf16,taq_Latn.dev,52018
CohereLabs/command-a-plus-05-2026-bf16,taq_Tfng.dev,260520
CohereLabs/command-a-plus-05-2026-bf16,tat_Cyrl.dev,70614
CohereLabs/command-a-plus-05-2026-bf16,tel_Telu.dev,61546
CohereLabs/command-a-plus-05-2026-bf16,tgk_Cyrl.dev,72790
CohereLabs/command-a-plus-05-2026-bf16,tgl_Latn.dev,47721
CohereLabs/command-a-plus-05-2026-bf16,tha_Thai.dev,42973
CohereLabs/command-a-plus-05-2026-bf16,tir_Ethi.dev,157611
CohereLabs/command-a-plus-05-2026-bf16,tpi_Latn.dev,49432
CohereLabs/command-a-plus-05-2026-bf16,tsn_Latn.dev,56075
CohereLabs/command-a-plus-05-2026-bf16,tso_Latn.dev,54096
CohereLabs/command-a-plus-05-2026-bf16,tuk_Latn.dev,53037
CohereLabs/command-a-plus-05-2026-bf16,tum_Latn.dev,61053
CohereLabs/command-a-plus-05-2026-bf16,tur_Latn.dev,38148
CohereLabs/command-a-plus-05-2026-bf16,twi_Latn.dev,53840
CohereLabs/command-a-plus-05-2026-bf16,tzm_Tfng.dev,258014
CohereLabs/command-a-plus-05-2026-bf16,uig_Arab.dev,103237
CohereLabs/command-a-plus-05-2026-bf16,ukr_Cyrl.dev,47628
CohereLabs/command-a-plus-05-2026-bf16,umb_Latn.dev,47642
CohereLabs/command-a-plus-05-2026-bf16,urd_Arab.dev,49873
CohereLabs/command-a-plus-05-2026-bf16,uzn_Latn.dev,51607
CohereLabs/command-a-plus-05-2026-bf16,vec_Latn.dev,38713
CohereLabs/command-a-plus-05-2026-bf16,vie_Latn.dev,33688
CohereLabs/command-a-plus-05-2026-bf16,war_Latn.dev,46488
CohereLabs/command-a-plus-05-2026-bf16,wol_Latn.dev,45012
CohereLabs/command-a-plus-05-2026-bf16,xho_Latn.dev,49504
CohereLabs/command-a-plus-05-2026-bf16,ydd_Hebr.dev,75158
CohereLabs/command-a-plus-05-2026-bf16,yor_Latn.dev,65158
CohereLabs/command-a-plus-05-2026-bf16,yue_Hant.dev,29442
CohereLabs/command-a-plus-05-2026-bf16,zho_Hans.dev,27632
CohereLabs/command-a-plus-05-2026-bf16,zho_Hant.dev,30648
CohereLabs/command-a-plus-05-2026-bf16,zsm_Latn.dev,29164
CohereLabs/command-a-plus-05-2026-bf16,zul_Latn.dev,52319
meta-llama/Llama-4-Scout-17B-16E-Instruct,ace_Arab.dev,68942
meta-llama/Llama-4-Scout-17B-16E-Instruct,ace_Latn.dev,46207
meta-llama/Llama-4-Scout-17B-16E-Instruct,acm_Arab.dev,41020
meta-llama/Llama-4-Scout-17B-16E-Instruct,acq_Arab.dev,41086
meta-llama/Llama-4-Scout-17B-16E-Instruct,aeb_Arab.dev,41924
meta-llama/Llama-4-Scout-17B-16E-Instruct,afr_Latn.dev,38471
meta-llama/Llama-4-Scout-17B-16E-Instruct,aka_Latn.dev,57959
meta-llama/Llama-4-Scout-17B-16E-Instruct,als_Latn.dev,44893
meta-llama/Llama-4-Scout-17B-16E-Instruct,amh_Ethi.dev,62501
meta-llama/Llama-4-Scout-17B-16E-Instruct,apc_Arab.dev,40107
meta-llama/Llama-4-Scout-17B-16E-Instruct,arb_Arab.dev,41032
meta-llama/Llama-4-Scout-17B-16E-Instruct,arb_Latn.dev,58465
meta-llama/Llama-4-Scout-17B-16E-Instruct,ars_Arab.dev,41126
meta-llama/Llama-4-Scout-17B-16E-Instruct,ary_Arab.dev,42915
meta-llama/Llama-4-Scout-17B-16E-Instruct,arz_Arab.dev,41373
meta-llama/Llama-4-Scout-17B-16E-Instruct,asm_Beng.dev,84922
meta-llama/Llama-4-Scout-17B-16E-Instruct,ast_Latn.dev,36047
meta-llama/Llama-4-Scout-17B-16E-Instruct,awa_Deva.dev,46998
meta-llama/Llama-4-Scout-17B-16E-Instruct,ayr_Latn.dev,50998
meta-llama/Llama-4-Scout-17B-16E-Instruct,azb_Arab.dev,48908
meta-llama/Llama-4-Scout-17B-16E-Instruct,azj_Latn.dev,46677
meta-llama/Llama-4-Scout-17B-16E-Instruct,bak_Cyrl.dev,61786
meta-llama/Llama-4-Scout-17B-16E-Instruct,bam_Latn.dev,54182
meta-llama/Llama-4-Scout-17B-16E-Instruct,ban_Latn.dev,40501
meta-llama/Llama-4-Scout-17B-16E-Instruct,bel_Cyrl.dev,58291
meta-llama/Llama-4-Scout-17B-16E-Instruct,bem_Latn.dev,53657
meta-llama/Llama-4-Scout-17B-16E-Instruct,ben_Beng.dev,52864
meta-llama/Llama-4-Scout-17B-16E-Instruct,bho_Deva.dev,49999
meta-llama/Llama-4-Scout-17B-16E-Instruct,bjn_Arab.dev,68197
meta-llama/Llama-4-Scout-17B-16E-Instruct,bjn_Latn.dev,36292
meta-llama/Llama-4-Scout-17B-16E-Instruct,bod_Tibt.dev,147725
