model,N,gini
openai/gpt-oss-20b,86,0.17769705032405358
openai/gpt-oss-20b,87,0.1764429504740761
openai/gpt-oss-20b,88,0.17506951807426252
openai/gpt-oss-20b,89,0.17374120295380435
openai/gpt-oss-20b,90,0.17341525919000866
openai/gpt-oss-20b,91,0.17225113178070628
openai/gpt-oss-20b,92,0.17153960422372672
openai/gpt-oss-20b,93,0.17049364289599667
openai/gpt-oss-20b,94,0.17009437842696173
openai/gpt-oss-20b,95,0.16885807488175786
openai/gpt-oss-20b,96,0.16840309522780483
openai/gpt-oss-20b,97,0.1672263117569981
openai/gpt-oss-20b,98,0.16604188921746443
openai/gpt-oss-20b,99,0.16536757997210416
openai/gpt-oss-20b,100,0.16421555024458745
openai/gpt-oss-20b,101,0.16314196377278023
openai/gpt-oss-20b,102,0.16261357381232422
openai/gpt-oss-20b,103,0.1637823604763653
openai/gpt-oss-20b,104,0.16371051180142948
openai/gpt-oss-20b,105,0.16263575928624352
openai/gpt-oss-20b,106,0.161637557135071
openai/gpt-oss-20b,107,0.16145634745588588
openai/gpt-oss-20b,108,0.18415673515974218
openai/gpt-oss-20b,109,0.1829964564610116
openai/gpt-oss-20b,110,0.18190350527099075
openai/gpt-oss-20b,111,0.18081688716177813
openai/gpt-oss-20b,112,0.179901038764974
openai/gpt-oss-20b,113,0.17879889945006333
openai/gpt-oss-20b,114,0.1778142017039055
openai/gpt-oss-20b,115,0.17680186490666072
openai/gpt-oss-20b,116,0.17586481250498642
openai/gpt-oss-20b,117,0.18815610602104194
openai/gpt-oss-20b,118,0.1870682823727996
openai/gpt-oss-20b,119,0.1861092410503109
openai/gpt-oss-20b,120,0.18508888237308696
openai/gpt-oss-20b,121,0.18402886040907385
openai/gpt-oss-20b,122,0.18349935757325442
openai/gpt-oss-20b,123,0.18264521659958421
openai/gpt-oss-20b,124,0.18161443617968143
openai/gpt-oss-20b,125,0.18062646199200394
openai/gpt-oss-20b,126,0.1796868136522809
openai/gpt-oss-20b,127,0.17885978730157936
openai/gpt-oss-20b,128,0.1996213654396488
openai/gpt-oss-20b,129,0.19855073791953926
openai/gpt-oss-20b,130,0.1974826431550738
openai/gpt-oss-20b,131,0.19800800015273934
openai/gpt-oss-20b,132,0.19768886195932778
openai/gpt-oss-20b,133,0.1975480088313153
openai/gpt-oss-20b,134,0.19724688401480694
openai/gpt-oss-20b,135,0.1971298214641206
openai/gpt-oss-20b,136,0.19612020650102902
openai/gpt-oss-20b,137,0.1955738845126298
openai/gpt-oss-20b,138,0.19460367481335328
openai/gpt-oss-20b,139,0.1936258641611781
openai/gpt-oss-20b,140,0.1933963107234664
openai/gpt-oss-20b,141,0.19245486092217323
openai/gpt-oss-20b,142,0.19150432953281338
openai/gpt-oss-20b,143,0.19070706502600254
openai/gpt-oss-20b,144,0.19037207810393353
openai/gpt-oss-20b,145,0.1901533249651839
openai/gpt-oss-20b,146,0.19117745548294973
openai/gpt-oss-20b,147,0.19028141091807926
openai/gpt-oss-20b,148,0.1894149666917262
openai/gpt-oss-20b,149,0.18856655255997667
openai/gpt-oss-20b,150,0.18812810346963738
openai/gpt-oss-20b,151,0.18725150565367765
openai/gpt-oss-20b,152,0.18797513297096846
openai/gpt-oss-20b,153,0.1874292950323595
openai/gpt-oss-20b,154,0.18662389511374622
openai/gpt-oss-20b,155,0.18615513171485332
openai/gpt-oss-20b,156,0.18533620636748283
openai/gpt-oss-20b,157,0.18480045838965387
openai/gpt-oss-20b,158,0.1854283926616922
openai/gpt-oss-20b,159,0.18461100362046667
openai/gpt-oss-20b,160,0.21207256186575218
openai/gpt-oss-20b,161,0.21129152716044297
openai/gpt-oss-20b,162,0.21043511239109058
openai/gpt-oss-20b,163,0.20953425674884962
openai/gpt-oss-20b,164,0.2086484488764655
openai/gpt-oss-20b,165,0.2079506635442001
openai/gpt-oss-20b,166,0.20707244001933334
openai/gpt-oss-20b,167,0.20620927861526273
openai/gpt-oss-20b,168,0.20586226561554333
openai/gpt-oss-20b,169,0.20610868667278193
openai/gpt-oss-20b,170,0.20525875354817957
openai/gpt-oss-20b,171,0.205586486567092
openai/gpt-oss-20b,172,0.204760669958427
openai/gpt-oss-20b,173,0.215904255518244
openai/gpt-oss-20b,174,0.2308703340261582
openai/gpt-oss-20b,175,0.23028784998411633
openai/gpt-oss-20b,176,0.22966002984969425
openai/gpt-oss-20b,177,0.22998335320445773
openai/gpt-oss-20b,178,0.2297163389480792
openai/gpt-oss-20b,179,0.2302067297660857
openai/gpt-oss-20b,180,0.22934929653071423
openai/gpt-oss-20b,181,0.2287009872940322
openai/gpt-oss-20b,182,0.2294775564816136
openai/gpt-oss-20b,183,0.2291236818056761
openai/gpt-oss-20b,184,0.22828426348876674
openai/gpt-oss-20b,185,0.22809807962848128
openai/gpt-oss-20b,186,0.23036689184130577
openai/gpt-oss-20b,187,0.22954687972242604
openai/gpt-oss-20b,188,0.22891384496969547
openai/gpt-oss-20b,189,0.22832316828899168
openai/gpt-oss-20b,190,0.22931909829679475
openai/gpt-oss-20b,191,0.22881585252896697
openai/gpt-oss-20b,192,0.2280162579288907
openai/gpt-oss-20b,193,0.2277803480968854
openai/gpt-oss-20b,194,0.22701924733191525
openai/gpt-oss-20b,195,0.22644333231184643
openai/gpt-oss-20b,196,0.2256637019375356
openai/gpt-oss-20b,197,0.22516342985436277
openai/gpt-oss-20b,198,0.22457338174145836
openai/gpt-oss-20b,199,0.23723438980098877
openai/gpt-oss-20b,200,0.23650420258480853
openai/gpt-oss-20b,201,0.23573695920779314
openai/gpt-oss-20b,202,0.23498287336488
openai/gpt-oss-20b,203,0.2342416952189077
CohereLabs/command-a-plus-05-2026-bf16,2,0.09736664198564204
CohereLabs/command-a-plus-05-2026-bf16,3,0.08520318332276933
CohereLabs/command-a-plus-05-2026-bf16,4,0.07933668536066518
CohereLabs/command-a-plus-05-2026-bf16,5,0.07295505255772494
CohereLabs/command-a-plus-05-2026-bf16,6,0.06552735547239918
CohereLabs/command-a-plus-05-2026-bf16,7,0.06932030471637929
CohereLabs/command-a-plus-05-2026-bf16,8,0.06542707303701278
CohereLabs/command-a-plus-05-2026-bf16,9,0.06142274429536543
CohereLabs/command-a-plus-05-2026-bf16,10,0.05793715877508432
CohereLabs/command-a-plus-05-2026-bf16,11,0.07019137403991893
CohereLabs/command-a-plus-05-2026-bf16,12,0.0695772286796843
CohereLabs/command-a-plus-05-2026-bf16,13,0.07158043252444002
CohereLabs/command-a-plus-05-2026-bf16,14,0.06913316292983707
CohereLabs/command-a-plus-05-2026-bf16,15,0.07264810858200033
CohereLabs/command-a-plus-05-2026-bf16,16,0.0701312884509242
CohereLabs/command-a-plus-05-2026-bf16,17,0.06862224962079955
CohereLabs/command-a-plus-05-2026-bf16,18,0.08373652108058782
CohereLabs/command-a-plus-05-2026-bf16,19,0.08094094779101746
CohereLabs/command-a-plus-05-2026-bf16,20,0.07833038635488832
CohereLabs/command-a-plus-05-2026-bf16,21,0.10206513941717366
CohereLabs/command-a-plus-05-2026-bf16,22,0.10366499690728848
CohereLabs/command-a-plus-05-2026-bf16,23,0.10080045862281795
CohereLabs/command-a-plus-05-2026-bf16,24,0.11101500997104341
CohereLabs/command-a-plus-05-2026-bf16,25,0.11364676902499515
CohereLabs/command-a-plus-05-2026-bf16,26,0.11483278924294482
CohereLabs/command-a-plus-05-2026-bf16,27,0.11466270269460432
CohereLabs/command-a-plus-05-2026-bf16,28,0.11285851217751963
CohereLabs/command-a-plus-05-2026-bf16,29,0.11257186295089294
CohereLabs/command-a-plus-05-2026-bf16,30,0.11062035431918438
CohereLabs/command-a-plus-05-2026-bf16,31,0.11377363665065343
CohereLabs/command-a-plus-05-2026-bf16,32,0.11187904698725215
CohereLabs/command-a-plus-05-2026-bf16,33,0.1153773701545846
CohereLabs/command-a-plus-05-2026-bf16,34,0.11414956643568086
CohereLabs/command-a-plus-05-2026-bf16,35,0.11343790447728197
CohereLabs/command-a-plus-05-2026-bf16,36,0.111930355788594
CohereLabs/command-a-plus-05-2026-bf16,37,0.11385149630654179
CohereLabs/command-a-plus-05-2026-bf16,38,0.11293846975226063
CohereLabs/command-a-plus-05-2026-bf16,39,0.11210215134798185
CohereLabs/command-a-plus-05-2026-bf16,40,0.11361566731666106
CohereLabs/command-a-plus-05-2026-bf16,41,0.11768773064472948
CohereLabs/command-a-plus-05-2026-bf16,42,0.1190141734630894
CohereLabs/command-a-plus-05-2026-bf16,43,0.1221199011620262
CohereLabs/command-a-plus-05-2026-bf16,44,0.12095848771694273
CohereLabs/command-a-plus-05-2026-bf16,45,0.12197206373619962
CohereLabs/command-a-plus-05-2026-bf16,46,0.12446205106160502
CohereLabs/command-a-plus-05-2026-bf16,47,0.12692367606845334
CohereLabs/command-a-plus-05-2026-bf16,48,0.15455954289059415
CohereLabs/command-a-plus-05-2026-bf16,49,0.16192035741061273
CohereLabs/command-a-plus-05-2026-bf16,50,0.160161407323405
CohereLabs/command-a-plus-05-2026-bf16,51,0.15893004209692996
CohereLabs/command-a-plus-05-2026-bf16,52,0.1580484531288029
CohereLabs/command-a-plus-05-2026-bf16,53,0.1568407877001261
CohereLabs/command-a-plus-05-2026-bf16,54,0.15617587858308046
CohereLabs/command-a-plus-05-2026-bf16,55,0.1860309623311338
CohereLabs/command-a-plus-05-2026-bf16,56,0.18628808611711656
CohereLabs/command-a-plus-05-2026-bf16,57,0.1848041821657298
CohereLabs/command-a-plus-05-2026-bf16,58,0.2205770205581683
CohereLabs/command-a-plus-05-2026-bf16,59,0.22032145221845867
CohereLabs/command-a-plus-05-2026-bf16,60,0.24981777831161533
CohereLabs/command-a-plus-05-2026-bf16,61,0.25165852757729135
CohereLabs/command-a-plus-05-2026-bf16,62,0.25190755742711146
CohereLabs/command-a-plus-05-2026-bf16,63,0.29213486605269656
CohereLabs/command-a-plus-05-2026-bf16,64,0.29070022693806896
CohereLabs/command-a-plus-05-2026-bf16,65,0.30143680171620324
CohereLabs/command-a-plus-05-2026-bf16,66,0.30016722799769724
CohereLabs/command-a-plus-05-2026-bf16,67,0.2975614867033147
CohereLabs/command-a-plus-05-2026-bf16,68,0.31438041646087367
CohereLabs/command-a-plus-05-2026-bf16,69,0.3118568873613745
CohereLabs/command-a-plus-05-2026-bf16,70,0.30926578990544096
CohereLabs/command-a-plus-05-2026-bf16,71,0.3204437598824237
CohereLabs/command-a-plus-05-2026-bf16,72,0.318694953507461
CohereLabs/command-a-plus-05-2026-bf16,73,0.31776431687151496
CohereLabs/command-a-plus-05-2026-bf16,74,0.316448902571308
CohereLabs/command-a-plus-05-2026-bf16,75,0.3317101797795925
CohereLabs/command-a-plus-05-2026-bf16,76,0.3296297704731104
CohereLabs/command-a-plus-05-2026-bf16,77,0.32733686725897515
CohereLabs/command-a-plus-05-2026-bf16,78,0.3250054443030308
CohereLabs/command-a-plus-05-2026-bf16,79,0.3237297810611932
CohereLabs/command-a-plus-05-2026-bf16,80,0.3215765883300232
CohereLabs/command-a-plus-05-2026-bf16,81,0.31932541840847506
CohereLabs/command-a-plus-05-2026-bf16,82,0.33264427979516387
CohereLabs/command-a-plus-05-2026-bf16,83,0.33044731013124196
CohereLabs/command-a-plus-05-2026-bf16,84,0.3290148770336019
CohereLabs/command-a-plus-05-2026-bf16,85,0.33437342169355877
CohereLabs/command-a-plus-05-2026-bf16,86,0.3325210256972191
CohereLabs/command-a-plus-05-2026-bf16,87,0.33096177583570996
CohereLabs/command-a-plus-05-2026-bf16,88,0.33034369484227666
CohereLabs/command-a-plus-05-2026-bf16,89,0.3283229112896433
CohereLabs/command-a-plus-05-2026-bf16,90,0.32745564007477923
CohereLabs/command-a-plus-05-2026-bf16,91,0.32554678130577885
CohereLabs/command-a-plus-05-2026-bf16,92,0.3250252984929023
CohereLabs/command-a-plus-05-2026-bf16,93,0.32329975314293513
CohereLabs/command-a-plus-05-2026-bf16,94,0.3214339608274772
CohereLabs/command-a-plus-05-2026-bf16,95,0.31955412341393075
CohereLabs/command-a-plus-05-2026-bf16,96,0.31853963547576347
CohereLabs/command-a-plus-05-2026-bf16,97,0.31697527679288307
CohereLabs/command-a-plus-05-2026-bf16,98,0.31573012079352947
CohereLabs/command-a-plus-05-2026-bf16,99,0.31400513179893497
CohereLabs/command-a-plus-05-2026-bf16,100,0.3124646360970962
CohereLabs/command-a-plus-05-2026-bf16,101,0.3107104982597748
CohereLabs/command-a-plus-05-2026-bf16,102,0.3097541215565478
CohereLabs/command-a-plus-05-2026-bf16,103,0.3107339033314249
CohereLabs/command-a-plus-05-2026-bf16,104,0.3092907583471771
CohereLabs/command-a-plus-05-2026-bf16,105,0.30763114797720315
CohereLabs/command-a-plus-05-2026-bf16,106,0.30600878844252954
CohereLabs/command-a-plus-05-2026-bf16,107,0.3052834043072066
CohereLabs/command-a-plus-05-2026-bf16,108,0.31492171509959155
CohereLabs/command-a-plus-05-2026-bf16,109,0.31339738702187026
CohereLabs/command-a-plus-05-2026-bf16,110,0.31189548686037893
CohereLabs/command-a-plus-05-2026-bf16,111,0.3104746342546989
CohereLabs/command-a-plus-05-2026-bf16,112,0.30889660137335717
CohereLabs/command-a-plus-05-2026-bf16,113,0.3074433557604621
CohereLabs/command-a-plus-05-2026-bf16,114,0.3059718151422739
CohereLabs/command-a-plus-05-2026-bf16,115,0.3044393535348029
CohereLabs/command-a-plus-05-2026-bf16,116,0.3029163170397928
CohereLabs/command-a-plus-05-2026-bf16,117,0.3074476938193096
CohereLabs/command-a-plus-05-2026-bf16,118,0.30609867476765684
CohereLabs/command-a-plus-05-2026-bf16,119,0.3049663176413495
CohereLabs/command-a-plus-05-2026-bf16,120,0.30370520727160066
CohereLabs/command-a-plus-05-2026-bf16,121,0.30260456712665995
CohereLabs/command-a-plus-05-2026-bf16,122,0.30121090490435054
CohereLabs/command-a-plus-05-2026-bf16,123,0.2997901390702855
CohereLabs/command-a-plus-05-2026-bf16,124,0.29841448354944
CohereLabs/command-a-plus-05-2026-bf16,125,0.2970751452642266
CohereLabs/command-a-plus-05-2026-bf16,126,0.29570386591394704
CohereLabs/command-a-plus-05-2026-bf16,127,0.2943476252632342
CohereLabs/command-a-plus-05-2026-bf16,128,0.3045581352446547
CohereLabs/command-a-plus-05-2026-bf16,129,0.3031849672935929
CohereLabs/command-a-plus-05-2026-bf16,130,0.30187584643121923
CohereLabs/command-a-plus-05-2026-bf16,131,0.3009956889666985
CohereLabs/command-a-plus-05-2026-bf16,132,0.29980530261636296
CohereLabs/command-a-plus-05-2026-bf16,133,0.3005920322585922
CohereLabs/command-a-plus-05-2026-bf16,134,0.30063174739003573
CohereLabs/command-a-plus-05-2026-bf16,135,0.300835537047786
CohereLabs/command-a-plus-05-2026-bf16,136,0.2996089090907428
CohereLabs/command-a-plus-05-2026-bf16,137,0.29938781772195044
CohereLabs/command-a-plus-05-2026-bf16,138,0.298278006608784
CohereLabs/command-a-plus-05-2026-bf16,139,0.2970038708914291
CohereLabs/command-a-plus-05-2026-bf16,140,0.2970986585622475
CohereLabs/command-a-plus-05-2026-bf16,141,0.296012584718115
CohereLabs/command-a-plus-05-2026-bf16,142,0.2948845274793195
CohereLabs/command-a-plus-05-2026-bf16,143,0.2940098475064723
CohereLabs/command-a-plus-05-2026-bf16,144,0.29394563682631203
CohereLabs/command-a-plus-05-2026-bf16,145,0.29401825029270734
CohereLabs/command-a-plus-05-2026-bf16,146,0.29407621207254353
CohereLabs/command-a-plus-05-2026-bf16,147,0.29298566226335243
CohereLabs/command-a-plus-05-2026-bf16,148,0.2919293609502771
CohereLabs/command-a-plus-05-2026-bf16,149,0.2910052881959051
CohereLabs/command-a-plus-05-2026-bf16,150,0.2903300140512659
CohereLabs/command-a-plus-05-2026-bf16,151,0.28929053155739703
CohereLabs/command-a-plus-05-2026-bf16,152,0.28845195392836454
CohereLabs/command-a-plus-05-2026-bf16,153,0.28731459109373914
CohereLabs/command-a-plus-05-2026-bf16,154,0.2861831785903437
CohereLabs/command-a-plus-05-2026-bf16,155,0.28505873457652453
CohereLabs/command-a-plus-05-2026-bf16,156,0.28398424640321673
CohereLabs/command-a-plus-05-2026-bf16,157,0.283643712609305
CohereLabs/command-a-plus-05-2026-bf16,158,0.28301183417920095
CohereLabs/command-a-plus-05-2026-bf16,159,0.28207186422478214
CohereLabs/command-a-plus-05-2026-bf16,160,0.29765525759947087
CohereLabs/command-a-plus-05-2026-bf16,161,0.29653980325331575
CohereLabs/command-a-plus-05-2026-bf16,162,0.29575622324741824
CohereLabs/command-a-plus-05-2026-bf16,163,0.2947152961856936
CohereLabs/command-a-plus-05-2026-bf16,164,0.2938254699188496
CohereLabs/command-a-plus-05-2026-bf16,165,0.29339795807543
CohereLabs/command-a-plus-05-2026-bf16,166,0.2925548089486776
CohereLabs/command-a-plus-05-2026-bf16,167,0.2915676985072233
CohereLabs/command-a-plus-05-2026-bf16,168,0.2915278532677712
CohereLabs/command-a-plus-05-2026-bf16,169,0.2908301149982657
CohereLabs/command-a-plus-05-2026-bf16,170,0.2899856837655812
CohereLabs/command-a-plus-05-2026-bf16,171,0.2893870650555006
CohereLabs/command-a-plus-05-2026-bf16,172,0.2884389586226179
CohereLabs/command-a-plus-05-2026-bf16,173,0.30398187991481174
CohereLabs/command-a-plus-05-2026-bf16,174,0.3126042477465245
CohereLabs/command-a-plus-05-2026-bf16,175,0.31154879738825914
CohereLabs/command-a-plus-05-2026-bf16,176,0.31050877085118933
CohereLabs/command-a-plus-05-2026-bf16,177,0.30959454408869824
CohereLabs/command-a-plus-05-2026-bf16,178,0.3086253920485278
CohereLabs/command-a-plus-05-2026-bf16,179,0.3080652556711527
CohereLabs/command-a-plus-05-2026-bf16,180,0.3071306129662039
CohereLabs/command-a-plus-05-2026-bf16,181,0.30619945282106276
CohereLabs/command-a-plus-05-2026-bf16,182,0.30604004667050155
CohereLabs/command-a-plus-05-2026-bf16,183,0.305806974160854
CohereLabs/command-a-plus-05-2026-bf16,184,0.3049864582253061
CohereLabs/command-a-plus-05-2026-bf16,185,0.30509765070696115
CohereLabs/command-a-plus-05-2026-bf16,186,0.3057264011359704
CohereLabs/command-a-plus-05-2026-bf16,187,0.3049139572995998
CohereLabs/command-a-plus-05-2026-bf16,188,0.3039467487659968
CohereLabs/command-a-plus-05-2026-bf16,189,0.303403785845052
CohereLabs/command-a-plus-05-2026-bf16,190,0.3029320264209394
CohereLabs/command-a-plus-05-2026-bf16,191,0.3026444557521044
CohereLabs/command-a-plus-05-2026-bf16,192,0.3018752743727453
CohereLabs/command-a-plus-05-2026-bf16,193,0.3017627857921761
CohereLabs/command-a-plus-05-2026-bf16,194,0.3009498729130602
CohereLabs/command-a-plus-05-2026-bf16,195,0.30049653943812515
CohereLabs/command-a-plus-05-2026-bf16,196,0.29973929795663
CohereLabs/command-a-plus-05-2026-bf16,197,0.29937269468849426
CohereLabs/command-a-plus-05-2026-bf16,198,0.2984721598765274
CohereLabs/command-a-plus-05-2026-bf16,199,0.30633327718380565
CohereLabs/command-a-plus-05-2026-bf16,200,0.3054672518577952
CohereLabs/command-a-plus-05-2026-bf16,201,0.30461396718481915
CohereLabs/command-a-plus-05-2026-bf16,202,0.30371889280187103
CohereLabs/command-a-plus-05-2026-bf16,203,0.3031129858114108
meta-llama/Llama-4-Scout-17B-16E-Instruct,2,0.054562615818915416
meta-llama/Llama-4-Scout-17B-16E-Instruct,3,0.05426168882627458
meta-llama/Llama-4-Scout-17B-16E-Instruct,4,0.049160522020214925
meta-llama/Llama-4-Scout-17B-16E-Instruct,5,0.048376868488600344
meta-llama/Llama-4-Scout-17B-16E-Instruct,6,0.04246985758423749
meta-llama/Llama-4-Scout-17B-16E-Instruct,7,0.0509526687252162
meta-llama/Llama-4-Scout-17B-16E-Instruct,8,0.051613840359031826
meta-llama/Llama-4-Scout-17B-16E-Instruct,9,0.04883384546174363
meta-llama/Llama-4-Scout-17B-16E-Instruct,10,0.04839130917101153
meta-llama/Llama-4-Scout-17B-16E-Instruct,11,0.05070851490763384
meta-llama/Llama-4-Scout-17B-16E-Instruct,12,0.04855967024803198
meta-llama/Llama-4-Scout-17B-16E-Instruct,13,0.0461147739282497
meta-llama/Llama-4-Scout-17B-16E-Instruct,14,0.05052672209880571
meta-llama/Llama-4-Scout-17B-16E-Instruct,15,0.05250849088392351
meta-llama/Llama-4-Scout-17B-16E-Instruct,16,0.05057025003270654
meta-llama/Llama-4-Scout-17B-16E-Instruct,17,0.04891939446764648
meta-llama/Llama-4-Scout-17B-16E-Instruct,18,0.0549637745197924
meta-llama/Llama-4-Scout-17B-16E-Instruct,19,0.05305642366473329
meta-llama/Llama-4-Scout-17B-16E-Instruct,20,0.05879677850095977
meta-llama/Llama-4-Scout-17B-16E-Instruct,21,0.08442681057916435
meta-llama/Llama-4-Scout-17B-16E-Instruct,22,0.08360843558236541
meta-llama/Llama-4-Scout-17B-16E-Instruct,23,0.0821219145509644
meta-llama/Llama-4-Scout-17B-16E-Instruct,24,0.08280100727280804
meta-llama/Llama-4-Scout-17B-16E-Instruct,25,0.08218032156214639
meta-llama/Llama-4-Scout-17B-16E-Instruct,26,0.09283558484022536
meta-llama/Llama-4-Scout-17B-16E-Instruct,27,0.09254588055919921
meta-llama/Llama-4-Scout-17B-16E-Instruct,28,0.09266235010325818
meta-llama/Llama-4-Scout-17B-16E-Instruct,29,0.09209457253592634
meta-llama/Llama-4-Scout-17B-16E-Instruct,30,0.09023574930521927
meta-llama/Llama-4-Scout-17B-16E-Instruct,31,0.08888725585219026
meta-llama/Llama-4-Scout-17B-16E-Instruct,32,0.09088107690364922
meta-llama/Llama-4-Scout-17B-16E-Instruct,33,0.09137484010994301
meta-llama/Llama-4-Scout-17B-16E-Instruct,34,0.09135002780686396
meta-llama/Llama-4-Scout-17B-16E-Instruct,35,0.0901806198217503
meta-llama/Llama-4-Scout-17B-16E-Instruct,36,0.08886168595651012
meta-llama/Llama-4-Scout-17B-16E-Instruct,37,0.08857423433958744
meta-llama/Llama-4-Scout-17B-16E-Instruct,38,0.08752396943263263
meta-llama/Llama-4-Scout-17B-16E-Instruct,39,0.08633905092800842
meta-llama/Llama-4-Scout-17B-16E-Instruct,40,0.09139369205712033
meta-llama/Llama-4-Scout-17B-16E-Instruct,41,0.09195432557750927
meta-llama/Llama-4-Scout-17B-16E-Instruct,42,0.09268347357992512
meta-llama/Llama-4-Scout-17B-16E-Instruct,43,0.09408223255768422
meta-llama/Llama-4-Scout-17B-16E-Instruct,44,0.09289420680097193
meta-llama/Llama-4-Scout-17B-16E-Instruct,45,0.09484110638610588
meta-llama/Llama-4-Scout-17B-16E-Instruct,46,0.09493241076392045
meta-llama/Llama-4-Scout-17B-16E-Instruct,47,0.11836969503288608
meta-llama/Llama-4-Scout-17B-16E-Instruct,48,0.12224933744050848
meta-llama/Llama-4-Scout-17B-16E-Instruct,49,0.12206931105845098
meta-llama/Llama-4-Scout-17B-16E-Instruct,50,0.12112463413325592
meta-llama/Llama-4-Scout-17B-16E-Instruct,51,0.12079014782016495
meta-llama/Llama-4-Scout-17B-16E-Instruct,52,0.11954351115385586
meta-llama/Llama-4-Scout-17B-16E-Instruct,53,0.11968219553265458
meta-llama/Llama-4-Scout-17B-16E-Instruct,54,0.11916789381844284
meta-llama/Llama-4-Scout-17B-16E-Instruct,55,0.1460919594262977
meta-llama/Llama-4-Scout-17B-16E-Instruct,56,0.14564161573550316
meta-llama/Llama-4-Scout-17B-16E-Instruct,57,0.14424060502573677
meta-llama/Llama-4-Scout-17B-16E-Instruct,58,0.15025282588455258
meta-llama/Llama-4-Scout-17B-16E-Instruct,59,0.15638366638359846
meta-llama/Llama-4-Scout-17B-16E-Instruct,60,0.15934789048770148
meta-llama/Llama-4-Scout-17B-16E-Instruct,61,0.15850302324453946
